Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 10 1999,Houston Rockets,96,Boston Celtics,100,Box Score,,16683,
Fri Dec 10 1999,Denver Nuggets,99,Charlotte Hornets,106,Box Score,,17320,
Fri Dec 10 1999,New Jersey Nets,69,Chicago Bulls,71,Box Score,,22112,
Fri Dec 10 1999,Los Angeles Clippers,83,Detroit Pistons,107,Box Score,,15249,
Fri Dec 10 1999,Cleveland Cavaliers,88,Indiana Pacers,136,Box Score,,18345,
Fri Dec 10 1999,Philadelphia 76ers,78,New York Knicks,85,Box Score,,19763,
Fri Dec 10 1999,Miami Heat,107,Sacramento Kings,97,Box Score,,17317,
Fri Dec 10 1999,Milwaukee Bucks,107,Toronto Raptors,91,Box Score,,17963,
Fri Dec 10 1999,Seattle SuperSonics,83,Utah Jazz,101,Box Score,,19372,
Sat Dec 11 1999,Atlanta Hawks,116,Cleveland Cavaliers,127,Box Score,,11328,
Sat Dec 11 1999,Phoenix Suns,115,Dallas Mavericks,120,Box Score,,14444,
Sat Dec 11 1999,Los Angeles Clippers,90,Indiana Pacers,108,Box Score,,18345,
Sat Dec 11 1999,Denver Nuggets,101,Milwaukee Bucks,99,Box Score,,15862,
Sat Dec 11 1999,Golden State Warriors,104,Minnesota Timberwolves,76,Box Score,,14739,
Sat Dec 11 1999,Houston Rockets,94,New Jersey Nets,106,Box Score,,15861,
Sat Dec 11 1999,Chicago Bulls,87,Orlando Magic,108,Box Score,,13120,
Sat Dec 11 1999,Charlotte Hornets,106,Philadelphia 76ers,84,Box Score,,18078,
Sat Dec 11 1999,Portland Trail Blazers,101,Sacramento Kings,96,Box Score,,17317,
Sat Dec 11 1999,Washington Wizards,99,San Antonio Spurs,89,Box Score,,17187,
Sat Dec 11 1999,Miami Heat,88,Seattle SuperSonics,92,Box Score,,15141,
Sat Dec 11 1999,Los Angeles Lakers,106,Vancouver Grizzlies,94,Box Score,,14059,
Sun Dec 12 1999,Detroit Pistons,93,Los Angeles Lakers,101,Box Score,,18785,
Sun Dec 12 1999,Boston Celtics,97,New York Knicks,99,Box Score,,19763,
Sun Dec 12 1999,Utah Jazz,103,Toronto Raptors,88,Box Score,,18163,
Mon Dec 13 1999,Vancouver Grizzlies,90,Los Angeles Clippers,102,Box Score,,9303,
Tue Dec 14 1999,Minnesota Timberwolves,94,Atlanta Hawks,105,Box Score,,14070,
Tue Dec 14 1999,Boston Celtics,88,Cleveland Cavaliers,115,Box Score,,11997,
Tue Dec 14 1999,San Antonio Spurs,111,Dallas Mavericks,93,Box Score,,13685,
Tue Dec 14 1999,Miami Heat,97,Golden State Warriors,102,Box Score,,11083,
Tue Dec 14 1999,New York Knicks,101,Houston Rockets,90,Box Score,,15650,
Tue Dec 14 1999,Los Angeles Clippers,68,Los Angeles Lakers,95,Box Score,,18719,
Tue Dec 14 1999,Detroit Pistons,104,Phoenix Suns,114,Box Score,,18575,
Tue Dec 14 1999,Denver Nuggets,84,Seattle SuperSonics,109,Box Score,,11879,
